[ 136.  135.  657.]
[ 135.  216.  932.]
[ 216.  393.  534.]
[ 393.  394.  145.]
[ 394.  152.  663.]
[ 152.   76.  929.]
[  76.  226.  504.]
[  226.   427.  1339.]
[  427.    63.  1476.]
[   63.   150.  1666.]
[ 150.  331.    3.]
[ 331.  149.  265.]
[ 149.  148.   27.]
[ 148.  255.  763.]
[ 255.  160.  835.]
[  160.   237.  1672.]
[ 237.  341.  190.]
[ 341.   22.  508.]
[   22.   339.  1693.]
[  339.   484.  1698.]
[  484.   381.  1667.]
[  381.   199.  1706.]
[ 199.  258.  621.]
[  258.   320.  1721.]
[  320.   396.  1734.]
[ 396.   14.  909.]
[   14.    64.  1515.]
[   64.   238.  1734.]
[  238.   336.  1738.]
[  336.   435.  1743.]
[ 435.  434.  880.]
[ 434.  488.  447.]
[  488.   192.  1662.]
[  192.   361.  1746.]
[  361.   321.  1747.]
[  321.   338.  1753.]
[  338.    61.  1664.]
[  61.   62.  591.]
[   62.    36.  1242.]
[   36.   112.  1754.]
[  112.    93.  1766.]
[   93.   399.  1519.]
[  399.    94.  1773.]
[   94.   234.  1774.]
[  234.   220.  1776.]
[ 220.  250.  135.]
[ 250.  353.  789.]
[ 353.  419.  735.]
[  419.   453.  1087.]
[  453.   418.  1587.]
[ 418.   79.  484.]
[  79.   78.  841.]
[   78.   328.  1681.]
[ 328.  464.  977.]
[  464.   465.  1534.]
[  465.   273.  1777.]
[  273.    90.  1787.]
[   90.   314.  1787.]
[  314.   252.  1118.]
[ 252.  287.  397.]
[  287.     7.  1756.]
[    7.   293.  1806.]
[  293.   272.  1807.]
[  272.   285.  1818.]
[  285.   223.  1829.]
[ 223.  305.  826.]
[  305.   224.  1751.]
[  224.   204.  1840.]
[ 204.  283.  832.]
[  283.   151.  1850.]
[ 151.   80.  162.]
[   80.   402.  1853.]
[  402.   469.  1306.]
[ 469.  116.   76.]
[  116.   236.  1319.]
[  236.   125.  1861.]
[ 125.   49.  993.]
[  49.   50.  914.]
[   50.   297.  1225.]
[ 297.   44.  339.]
[   44.   422.  1459.]
[  422.    66.  1867.]
[   66.    72.  1870.]
[   72.   181.  1886.]
[  181.    59.  1910.]
[  59.  326.  185.]
[ 326.  325.  810.]
[  325.   479.  1924.]
[  479.   395.  1669.]
[  395.   340.  1929.]
[  340.   196.  1123.]
[  196.   342.  1939.]
[  342.    25.  1949.]
[   25.   269.  1966.]
[  269.    85.  1971.]
[   85.     9.  1984.]
[    9.   416.  2053.]
[  416.    77.  2060.]
[   77.   158.  2060.]
[  158.   205.  2078.]
[ 205.  111.  781.]
[  111.   446.  1787.]
[  446.   447.  1603.]
[  447.    34.  2083.]
[   34.   357.  1218.]
[  357.   450.  1350.]
[ 450.  333.   77.]
[  333.    32.  2102.]
[   32.   309.  2124.]
[  309.   281.  2140.]
[  281.   279.  2141.]
[  279.   442.  1719.]
[  442.   128.  2163.]
[  128.   217.  2164.]
[  217.   440.  2182.]
[  440.   166.  2192.]
[ 166.  282.  702.]
[ 282.  312.  375.]
[  312.   356.  2006.]
[  356.   432.  2206.]
[  432.    46.  2272.]
[   46.   436.  2275.]
[  436.    33.  2279.]
[  33.  147.  865.]
[  147.   203.  2295.]
[  203.   105.  2296.]
[  105.   404.  2310.]
[  404.   304.  2356.]
[  304.   212.  2368.]
[  212.    68.  2402.]
[   68.    96.  2433.]
[   96.   253.  2456.]
[ 253.  306.  952.]
[  306.   317.  2463.]
[  317.   318.  1999.]
[  318.   362.  2471.]
[  362.    17.  2484.]
[  17.   18.  267.]
[  18.   19.  903.]
[  19.  474.  590.]
[  474.   456.  1691.]
[  456.    69.  1754.]
[  69.   11.  171.]
[   11.   455.  2231.]
[  455.   102.  1154.]
[  102.   233.  1766.]
[  233.   180.  2504.]
[  180.   278.  2508.]
[  278.   383.  2597.]
[  383.   466.  2597.]
[  466.   441.  2111.]
[  441.    86.  2638.]
[   86.   346.  2660.]
[  346.   131.  2660.]
[  131.   117.  2704.]
[  117.   107.  2706.]
[ 107.  172.  644.]
[  172.   171.  1141.]
[  171.    35.  2706.]
[   35.   457.  2717.]
[  457.   225.  2733.]
[  225.   189.  2315.]
[  189.   275.  2753.]
[  275.   201.  2809.]
[  201.    30.  2849.]
[   30.    75.  2873.]
[  75.   74.  102.]
[   74.   159.  1589.]
[  159.   302.  2907.]
[  302.   379.  2951.]
[  379.   108.  2976.]
[  108.    70.  2985.]
[   70.   415.  2987.]
[  415.   384.  3021.]
[  384.   329.  3052.]
[  329.   365.  3070.]
[  365.   124.  3072.]
[  124.   288.  3078.]
[  288.   207.  3104.]
[ 207.  206.  752.]
[  206.    23.  3114.]
[   23.   264.  3117.]
[  264.   263.  1858.]
[  263.   262.  2202.]
[ 262.  388.  855.]
[  388.   389.  1623.]
[  389.   221.  3212.]
[  221.   430.  3248.]
[  430.   134.  3303.]
[  134.   187.  1752.]
[  187.   472.  1927.]
[  472.   228.  1465.]
[  228.   366.  3340.]
[  366.   296.  3345.]
[  296.   230.  3348.]
[  230.   499.  2295.]
[  499.   387.  3360.]
[  387.   260.  3438.]
[  260.   261.  1791.]
[  261.   444.  3461.]
[  444.   142.  3534.]
[  142.   449.  3537.]
[  449.   360.  3623.]
[  360.   400.  3627.]
[  400.   458.  3644.]
[  458.   433.  3831.]
[  433.    58.  3931.]
[   58.   345.  4230.]
[  345.   106.  4375.]
[  106.   123.  4408.]
[  123.   460.  4943.]
[  460.   461.  1208.]
[  461.   144.  5026.]
[  144.   391.  5083.]
[  391.   390.  2466.]
[  390.   417.  3903.]
[  417.   202.  5366.]
[  202.   284.  7229.]
651324.0
